#x, y, z, a, b, theta
-43.42799892425537, -230.7459997177124, 106.193, 21.48882707142731, 13.100000381469727, 3.1415926535115477
-44.47633791480475, -231.90134478125975, 106.993, 21.627593387416987, 12.460000038146973, 3.1415924177247287
-43.59000148773204, -233.45500049591064, 109.393, 32.010000228881836, 10.670000076293945, -1.5176368251246757
-43.57999858856201, -233.41699924468995, 108.593, 33.71999931335449, 11.239999771118164, 1.7558283429834103
-43.626999378204346, -233.47678359833267, 110.193, 27.397272626428602, 10.130000114440918, -1.7774246879919622
-43.682001209259035, -231.72199449539187, 111.793, 17.099618999001663, 9.130000114440918, -0.024337848439624155
-43.72000074386597, -231.84300565719604, 112.593, 17.911183025871665, 8.6899995803833, -0.905950580947422
-43.75468451501045, -231.84300441742127, 114.193, 17.996968993497678, 7.739999771118164, -3.0701685336830673
-43.668001651763916, -233.50500631332397, 110.993, 21.82993354590075, 9.609999656677246, -1.6801776958593329
-44.366992043532036, -231.90699462890626, 113.393, 17.873348632879228, 8.25, -0.9486669097942018
-44.208998417854275, -231.0670025587082, 121.393, 7.751303932915011, 3.450000047683716, -3.0123350840257324
-43.60986465475079, -233.14986938497535, 122.993, 4.2194449664000375, 2.569999933242798, 2.1759401843861452
-43.61867522063496, -233.37567137543223, 123.793, 3.5905651428065104, 2.3399999141693115, 2.061544954132234
-45.17250461310846, -232.17351169318647, 118.193, 9.135501086735763, 5.760000228881836, 2.8284712653726194
-43.940000588700116, -231.50799756745994, 115.793, 15.938472339546117, 6.769999980926514, 3.141592653589793
-44.01799879074097, -232.60851845920183, 116.593, 16.317061853947344, 6.369999885559082, 2.983214465819441
-44.50000147819519, -231.4679999828329, 119.793, 8.961517904723758, 4.679999828338623, 2.814380733282235
-44.074998235696164, -231.3291548975459, 122.193, 7.284763775779748, 2.940000057220459, -2.8014262803997023
-44.35300130844102, -231.60999364852904, 120.593, 8.540106723538912, 4.039999961853027, 2.7997178500373527
-43.629998207092285, -231.4197740158735, 118.993, 8.665644344544093, 5.260000228881836, -0.8805225255902838
-43.69598949581617, -231.65365978066504, 114.993, 17.36091024863709, 7.230000019073486, 0.1629953985189338
-45.306999111175536, -232.36199560164175, 117.393, 10.17440126206166, 6.039999961853027, 2.761490721847968
-43.20325946376225, -232.72425174281437, 126.193, 2.937427484201275, 2.0299999713897705, 1.910928523790967
-43.4821648146754, -233.19516988059394, 124.593, 3.226011273376955, 2.1700000762939453, 2.0078558603106536
-43.51300035055205, -231.3799933009915, 130.193, 6.177339827909437, 2.8499999046325684, 3.056441829736075
-42.855225669195704, -232.8502246010756, 126.993, 3.254737100441348, 1.9500000476837158, -0.7586011947723336
-42.789760376212044, -232.54176690709582, 127.793, 3.813363293135576, 1.843000054359436, 2.700356616162592
-43.55799770555662, -232.65300655565437, 125.393, 2.6639718511762713, 2.0799999237060547, 2.0133729441835415
-43.673015681592624, -231.63101204997852, 128.593, 4.204106297442673, 2.0999999046325684, 3.086893714660666
-43.72804061382766, -231.52700426578522, 129.393, 5.969301651502793, 2.430000066757202, -0.15312866524380692
-44.075838539627796, -231.0216651224392, 130.993, 6.282935311158519, 3.2899999618530273, 0.0966895229541108
-43.95474691411292, -231.5157515527846, 131.793, 5.169416841877919, 3.8299999237060547, 2.6839942742869938
-43.22300100326538, -231.7280068397522, 132.593, 4.621300782495865, 4.210000038146973, 0.5956734855960117
-43.00999813079841, -231.70759216526034, 133.393, 4.782674860273106, 4.239999771118164, 0.48973128276823563
-43.218187179473276, -230.61218437185607, 135.793, 4.923740217997932, 3.619999885559082, 2.5237479313674047
-43.82954828739166, -231.41055719852446, 138.193, 3.8639865943843708, 3.125499963760376, 0.29948500676840906
-43.37514585096815, -230.928729012867, 141.393, 6.815219282584179, 4.199999809265137, -0.8601441932575098
-43.95969033928691, -231.35369516106448, 136.593, 4.298355693111974, 3.4200000762939453, 1.2102465839969163
-43.79900078773498, -230.71899695396442, 139.793, 5.393819228778819, 3.559999942779541, 0.5638963483882926
-43.51127494540793, -231.18727744785474, 138.993, 4.409962004897883, 3.4000000953674316, 0.38465913467524704
-43.560850036796765, -231.14984692400435, 140.593, 7.2977551846407875, 3.8299999237060547, 1.6445315765208983
-42.99327716092741, -230.63888581381116, 134.993, 5.3369303034991065, 3.880000114440918, 1.964332437441747
-43.89720367929803, -231.3792097522383, 137.393, 4.026530616646408, 3.2899999618530273, 0.3114352949240332
-42.929001808166504, -231.52632373828925, 134.193, 5.506423531268318, 4.079999923706055, 0.5441053404892192
-43.8929567383053, -231.38700304031372, 142.193, 6.640446046921932, 4.619999885559082, 0.6836069882159618
-43.203294760664484, -231.60325972113577, 142.993, 6.179951652537309, 4.889999866485596, 2.7689630940268892
-43.78189347283872, -231.44988892571948, 151.793, 8.256042125196174, 5.300000190734863, 3.1408451703443125
-43.589659319990474, -232.29365788566435, 145.393, 7.571286856723871, 5.440000057220459, 2.538970676948545
-43.48249688133252, -231.09549202903776, 152.593, 8.786554594685008, 5.610000133514404, 3.141592653589793
-44.33216732334343, -232.06638241818462, 150.993, 6.174025774184914, 5.059999942779541, 2.535809859351489
-44.235903069273505, -231.99595908507249, 150.193, 5.618994116479138, 4.880000114440918, -0.695841018078021
-43.77020448344217, -231.60619920390155, 148.593, 5.531222906510154, 4.820000171661377, 1.299544629293402
-43.08246453333763, -232.2364600472539, 144.593, 6.914050053789616, 5.46999979019165, 2.5389288022856964
-43.66383691640583, -231.9449936389923, 147.793, 5.776360005264721, 4.889999866485596, -0.8610323561212638
-43.812064698500606, -231.60405688600068, 149.393, 5.717410665564156, 4.800000190734863, 1.1939187068618557
-43.42037871571681, -231.51937392445745, 143.793, 6.71357466692001, 5.150000095367432, -0.19569209427935846
-43.66064559260033, -232.07965194029538, 146.193, 7.97233237608469, 5.300000190734863, 2.8808992838505327
-42.92704335923396, -231.13104955430174, 146.993, 6.527190240795139, 5.050000190734863, 1.8385086219737072
-43.49629527796861, -231.50857087777513, 153.393, 8.353189002380693, 5.980000019073486, 1.2943611987005355
-43.34306893730866, -230.9280603923886, 154.193, 7.9738270690413415, 6.400000095367432, 2.2683162010609434
-44.47388900359711, -232.10689223844105, 157.393, 9.733224269476949, 7.5, 1.383137495697327
-42.772478108543865, -231.15852790653645, 162.193, 9.386443257319128, 7.619999885559082, 0.17298928393077662
-43.446841602700886, -231.8688424877106, 158.993, 7.945699656663011, 7.409999847412109, 0.12746717543563466
-44.191285733835514, -231.76029360737135, 156.593, 8.825126507417146, 7.460000038146973, 1.2534971650289877
-43.64272831096709, -232.10876594923275, 159.793, 8.080188371160725, 7.360000133514404, -0.538864585294771
-43.54169333671686, -232.24199867248535, 154.993, 7.597019735500165, 6.840000152587891, 0.5312512297032431
-42.76554403253717, -231.59314880948557, 160.593, 8.267706236863914, 7.380000114440918, 0.049204131182772455
-42.89866690539509, -230.99690802397004, 158.193, 9.344740862594382, 7.46999979019165, -1.2077601789403514
-43.514647538887274, -232.09964662348776, 161.393, 8.572963926158629, 7.46999979019165, 1.257001706253943
-44.27425277398633, -230.7317427323926, 155.793, 8.394163256338945, 7.25, 0.27108579358893903
-42.082068355779754, -230.57706728766442, 165.393, 11.578584475768256, 8.390000343322754, 0.27261838665174176
-43.022257310598874, -230.89600191116335, 169.393, 10.377700237911636, 9.0600004196167, 0.29226536490380317
-43.91039819177492, -231.65803853074198, 170.193, 10.075077454389215, 9.010000228881836, 0.9727042859327115
-44.09700088500976, -232.48100357055662, 167.793, 10.431372649291278, 9.180000305175781, 2.6056671179816244
-43.61632076077518, -232.00554659757813, 170.993, 10.304239610108029, 9.0, 1.1116683389672726
-43.41925648036231, -231.7872641402759, 166.193, 11.668827628109822, 8.6899995803833, 3.141547779901124
-43.560879195263205, -232.4398769980236, 171.793, 11.366435637054, 8.899999618530273, 1.2013699766001416
-42.99428673454274, -231.43727989860758, 166.993, 11.438214927276437, 8.930000305175781, 2.1356885986845446
-42.53357943038976, -231.14058550338632, 168.593, 10.102436318316553, 9.130000114440918, 1.7003456573862579
-42.78140105369491, -232.58146785966886, 162.993, 9.303203969388889, 7.809999942779541, 0.7181959462503121
-43.591880884962464, -232.15988930781276, 164.593, 10.528411100848851, 8.130000114440918, 1.313473805167603
-43.623715010998566, -232.28971156251208, 163.793, 9.650050172093241, 7.940000057220459, 1.1550106812490304
-43.42847447065037, -232.46447758344306, 178.793, 13.361815149030058, 9.300000190734863, 2.780735631095828
-43.84397768730837, -232.97698092217172, 177.193, 12.290417060999825, 8.970000267028809, 2.7742694837928505
-44.01611378302317, -233.01811649908564, 177.993, 13.32807652360015, 9.170000076293945, 2.787624349549559
-41.76380555999084, -231.7642063846755, 175.593, 10.68254869423653, 8.770000457763672, 0.5588372929984033
-44.73700037002563, -232.61341048282122, 179.593, 11.447942150487926, 9.390000343322754, -1.3581298473391303
-42.7017481988165, -231.9427531426623, 174.193, 10.552076001462114, 8.670000076293945, 0.7519568374835299
-43.210454697675075, -232.47845625427385, 176.393, 10.801165211737402, 8.84000015258789, 2.6727572167172804
-42.53339795321349, -231.6052461708348, 172.593, 11.479732404245407, 8.779999732971191, -2.36934542217558
-43.79737752607401, -231.51837438272867, 180.393, 12.573251043889684, 9.270000457763672, 1.5884362734051063
-41.8675812806453, -232.33115319797122, 174.993, 11.071802816191294, 8.710000038146973, 0.6429394688214509
-44.54338791235062, -231.75139572500007, 181.193, 11.512005524717349, 9.100000381469727, 1.876023947297925
-42.62521327200703, -231.7932163548628, 173.393, 10.979840538329492, 8.699999809265137, 0.6219236007020417
-43.37500085830688, -230.44066364456984, 183.593, 12.25297430193422, 8.279999732971191, 0.4420436704090821
-42.52501058766671, -230.4141553812651, 185.193, 12.07834563874657, 7.809999942779541, 0.22557702276196945
-43.083629138046746, -231.6214808531338, 184.393, 10.978625872117822, 8.109999656677246, 3.141592653589793
-43.859001541137694, -231.26152002596268, 182.793, 11.646351336498912, 8.479999542236328, 1.885723609480058
-42.643001556396484, -230.28700256347656, 185.993, 10.712132799708282, 7.5, 3.141592653589793
-41.553680208511, -231.3116796286758, 188.393, 8.341350549936113, 6.869999885559082, 1.36218130828451
-41.555564996863524, -231.1075669499885, 187.593, 8.454045677718863, 7.010000228881836, 1.3216240568823074
-41.60159861003497, -231.74859415446753, 190.793, 8.045255178559962, 6.860000133514404, 1.324467699227961
-43.24868380704552, -230.94469058195645, 181.993, 11.61912385225639, 8.760000228881836, 2.0718539800143727
-41.79401647251012, -231.46745461465613, 189.193, 8.475906621940089, 6.809999942779541, -1.6971594650915292
-41.536120692679916, -231.6791260637816, 189.993, 8.262337760827695, 6.488499927520752, 1.3407487340963775
-41.72307573395835, -231.0180700882065, 186.793, 9.251030741077493, 7.21999979019165, 1.3754280722103496
-41.534000396728516, -230.72700119018555, 199.593, 11.967666692646443, 8.680000305175781, -0.09562391488789695
-41.57400111290427, -230.70899906158448, 200.393, 12.266410183337243, 8.899999618530273, -0.13757594397196188
-42.183502874403665, -231.50750418665677, 197.993, 9.687224654091079, 8.390000343322754, 1.9506308274684332
-42.721540911946626, -232.12753914193928, 197.193, 9.378396096616436, 8.319999694824219, 2.5824223409501927
-42.71899890899658, -231.395133032415, 195.593, 9.734106302542951, 8.350000381469727, -1.2970836595248434
-41.54680559743885, -232.28769777647332, 193.993, 10.412981062877606, 7.699999809265137, 1.5483185803983939
-41.74406774943125, -231.90207251017364, 194.793, 10.087981833671044, 8.069999694824219, 1.344807329481284
-42.04178977204641, -232.19679236604009, 193.193, 9.98228736951149, 7.400000095367432, 3.1342988790951543
-42.25805104929486, -231.50004399975487, 198.793, 10.317808468433402, 8.520000457763672, 1.8756934384687054
-41.110146088918796, -231.26014761479757, 191.593, 8.358703509752518, 6.96999979019165, 2.4755833826920237
-42.57003057544273, -232.06602514334196, 196.393, 9.40431807864295, 8.3100004196167, 2.560745333175877
-41.38602028496966, -232.1686833463072, 192.393, 9.50260772993947, 7.150000095367432, 1.287538494483042
-42.87172297621591, -231.4707181849564, 204.393, 15.150765165807371, 10.029999732971191, 3.141592653589793
-42.177642018531664, -232.46200618743896, 203.593, 16.173855830405095, 10.149999618530273, 0.4366859279718299
-41.272998905181886, -231.92199316024778, 205.193, 15.424053525098731, 9.789999961853027, 1.5213893478238412
-43.20999994277954, -232.0400055885315, 205.993, 13.10271858125705, 9.529999732971191, 3.141592653589793
-41.640000724792515, -230.6790060043335, 201.993, 14.58152796492318, 9.489999771118164, 2.795610557990307
-41.66401205197347, -230.65100393429762, 202.793, 14.054037636541691, 9.859999656677246, 2.9609451590027795
-41.7728403260943, -230.74084264543092, 206.793, 13.573471597567494, 9.34000015258789, 1.233518346044276
-41.610000419616696, -230.6960065841675, 201.193, 13.185726296181958, 9.170000076293945, 2.896458988843106
-41.46830230852275, -230.57029586931804, 207.593, 11.67232897336466, 9.199999809265137, 0.7212071765623798
-41.50627748204648, -230.7432731790684, 208.393, 10.856409403533632, 9.119999885559082, 0.8061023883503995
-42.30497410481622, -231.80997898762803, 209.993, 10.733693523692253, 9.140000343322754, 0.5160024134703464
-41.36899929046632, -231.02465133475567, 209.193, 10.640786900875838, 9.100000381469727, 0.8873254849158085
-43.25300130844113, -232.06588354999812, 214.793, 14.967432219326202, 10.470000267028809, 0.0317851179766549
-43.25399827957153, -233.24947663450757, 213.193, 14.74201253030672, 9.869999885559082, -1.5140073751873029
-42.333887515821786, -233.36488956049874, 219.593, 16.554937671741044, 10.930000305175781, 0.6186171432468497
-43.365000438690174, -233.10796758548332, 215.593, 16.715223402692867, 10.8100004196167, -0.893693599497974
-42.74494014919321, -232.98293529688095, 213.993, 15.1965915315437, 10.15999984741211, 3.101776339273309
-43.20716694392402, -232.8540862623016, 210.793, 11.408034981358185, 9.239999771118164, 0.6020228176591773
-43.272557428930796, -233.17555349216315, 212.393, 12.846474835230502, 9.609999656677246, 3.033129537577188
-42.011612609919034, -233.95599479675292, 217.193, 17.127538420573902, 11.270000457763672, -2.4145407587724024
-41.91299877166748, -232.65300426483157, 218.793, 16.729063052200107, 11.170000076293945, 0.6980297930334372
-42.843752864279594, -233.35591980251905, 216.393, 16.72276332988117, 11.130000114440918, -0.8109833333608562
-42.63218290667142, -233.01200618743894, 211.593, 12.218248556710797, 9.399999618530273, 2.2266028339562194
-41.88400154113769, -232.50599937438966, 217.993, 15.909880883967569, 11.34000015258789, 3.0637328733641276
-42.21100111007689, -234.3279965400696, 229.193, 25.622640338165517, 12.0600004196167, -2.943679513207122
-41.70987142065772, -235.9138776157263, 228.393, 21.425288017033935, 11.75, 3.141592653589793
-42.519999408721844, -234.16300687789922, 227.593, 25.802669015737482, 11.4399995803833, 2.1113987494163053
-41.695022821377314, -234.17902398104462, 223.593, 12.645968882863786, 10.510000228881836, 2.9077125746860126
-41.74720554518494, -233.96019916701167, 222.793, 14.479662576312366, 10.479999542236328, 1.9801591782330847
-40.607219554912255, -233.98722443772465, 225.993, 16.035098867342782, 10.920000076293945, 3.0257333967098488
-42.63199882507324, -234.06899757386464, 226.793, 21.43360444886197, 11.15999984741211, -1.237290163602904
